Player,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS
Precious Achiuwa,NYK,28,19.39,2.64,4.93,0.25,0.64,0.61,1.07,1.89,3.75,5.64,1.04,0.93,0.75,0.79,6.14
Steven Adams,HOU,33,12.12,1.39,2.33,0.0,0.0,0.85,1.88,2.55,2.52,5.06,1.12,0.3,0.48,0.97,3.64
Bam Adebayo,MIA,46,33.89,6.26,13.41,0.72,2.5,2.98,4.07,2.46,7.52,9.98,4.61,1.35,0.8,2.17,16.22
Ochai Agbaji,TOR,43,28.02,4.16,8.14,1.56,3.88,0.47,0.7,0.84,2.84,3.67,1.67,0.84,0.6,0.79,10.35
Santi Aldama,MEM,41,24.83,5.1,10.32,1.73,4.73,1.05,1.46,1.59,5.24,6.83,2.59,0.83,0.56,1.12,12.98
Trey Alexander,DEN,14,4.43,0.29,1.29,0.14,0.64,0.14,0.14,0.0,0.29,0.29,0.43,0.07,0.07,0.07,0.86
Nickeil Alexander-Walker,MIN,49,23.71,3.16,7.1,1.71,4.27,0.78,1.06,0.59,2.31,2.9,2.41,0.61,0.31,1.27,8.82
Grayson Allen,PHX,39,24.49,3.46,7.56,2.44,5.62,1.51,1.82,0.62,2.79,3.41,1.92,0.92,0.28,1.05,10.87
Jarrett Allen,CLE,49,28.84,5.63,7.98,0.0,0.04,2.47,3.37,2.57,7.47,10.04,1.9,0.92,0.94,1.08,13.73
Jose Alvarado,NOP,26,22.19,3.23,8.0,2.19,5.31,1.04,1.31,0.46,1.5,1.96,4.12,1.31,0.31,1.15,9.69
Kyle Anderson,GSW,36,15.03,2.11,4.69,0.53,1.44,0.5,0.75,0.75,2.31,3.06,2.25,0.72,0.56,0.56,5.25
Giannis Antetokounmpo,MIL,41,34.9,12.71,20.9,0.15,0.78,6.2,10.73,2.29,9.88,12.17,5.88,0.76,1.32,3.44,31.76
Cole Anthony,ORL,45,16.73,3.2,7.71,0.96,3.02,1.33,1.69,0.64,2.22,2.87,2.76,0.6,0.31,1.58,8.69
