Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
A.J. Green,MIL,9.9,1.5,3.6,1.3,3.0,0.1,0.1,0.2,1.1,1.3,0.6,0.2,0.0,0.3,4.4,35,7.800000000000001
A.J. Lawson,TOT,5.6000000000000005,1.3333333333333333,2.3333333333333335,0.4666666666666666,1.1666666666666667,0.06666666666666667,0.3666666666666667,0.26666666666666666,1.0,1.2666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,3.1999999999999997,30,5.1
AJ Griffin,ATL,19.5,3.4,7.4,1.4,3.6,0.6,0.7,0.5,1.6,2.1,1.0,0.6,0.2,0.6,8.9,72,15.7
Aaron Gordon,DEN,30.2,6.3,11.2,0.9,2.5,2.8,4.6,2.4,4.1,6.6,3.0,0.8,0.8,1.4,16.3,68,33.0
Aaron Holiday,ATL,13.4,1.5,3.5,0.6,1.4,0.4,0.5,0.4,0.8,1.2,1.4,0.6,0.2,0.6,3.9,63,9.9
Aaron Nesmith,IND,24.9,3.5,8.1,1.6,4.3,1.6,1.9,0.8,2.9,3.8,1.3,0.8,0.5,1.0,10.1,73,19.9
Aaron Wiggins,OKC,18.5,2.7,5.2,0.7,1.7,0.8,1.0,1.0,2.0,3.0,1.1,0.6,0.2,0.8,6.8,70,14.3
Admiral Schofield,ORL,12.2,1.5,3.3,0.6,2.0,0.6,0.6,0.6,1.1,1.7,0.8,0.2,0.1,0.4,4.2,37,8.200000000000001
Al Horford,BOS,30.5,3.6,7.6,2.3,5.2,0.2,0.3,1.2,5.0,6.2,3.0,0.5,1.0,0.6,9.8,63,28.6
Alec Burks,DET,22.0,3.9,9.0,1.9,4.7,3.0,3.7,0.4,2.7,3.1,2.2,0.7,0.2,1.1,12.8,51,21.700000000000003
Aleksej Pokusevski,OKC,20.6,3.2,7.3,1.1,3.1,0.6,1.0,1.3,3.4,4.7,1.9,0.6,1.3,1.3,8.1,34,21.400000000000002
Alex Caruso,CHI,23.5,1.9,4.3,0.8,2.3,0.9,1.1,0.6,2.3,2.9,2.9,1.5,0.7,1.1,5.6,67,21.0
Alex Len,SAC,6.2,0.6,1.2,0.0,0.1,0.4,0.6,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.7,26,6.0
Alize Johnson,SAS,7.5,0.8,1.5,0.0,0.5,0.3,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,1.8,4,4.0
Alondes Williams,BRK,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1,-3.0
Alperen �eng�n,HOU,28.9,5.9,10.7,0.3,0.8,2.7,3.8,3.2,5.8,9.0,3.9,0.9,0.9,2.6,14.8,75,33.900000000000006
Amir Coffey,LAC,12.5,1.1,2.9,0.2,0.8,1.0,1.3,0.3,0.7,1.1,1.1,0.1,0.1,0.4,3.4,50,5.9
Andre Drummond,CHI,12.7,2.5,4.1,0.0,0.0,1.0,1.9,2.1,4.6,6.6,0.5,0.7,0.4,1.1,6.0,67,15.799999999999997
Andre Iguodala,GSW,14.1,0.9,1.9,0.1,1.1,0.3,0.4,0.4,1.8,2.1,2.4,0.5,0.4,1.1,2.1,8,10.299999999999999
Andrew Nembhard,IND,27.6,3.8,8.6,1.2,3.5,0.7,0.8,0.5,2.2,2.7,4.5,0.9,0.2,1.7,9.5,75,22.299999999999997
Andrew Wiggins,GSW,32.2,6.8,14.3,2.4,6.1,1.2,1.9,1.6,3.4,5.0,2.3,1.2,0.8,1.3,17.1,37,33.1
Anfernee Simons,POR,35.0,7.5,16.9,3.4,9.1,2.6,2.9,0.3,2.3,2.6,4.1,0.7,0.2,2.1,21.1,62,32.5
Anthony Davis,LAL,34.0,9.7,17.2,0.3,1.3,6.2,7.9,3.5,9.1,12.5,2.6,1.1,2.0,2.2,25.9,56,52.4
Anthony Edwards,MIN,36.0,8.9,19.5,2.7,7.3,4.0,5.3,0.6,5.2,5.8,4.4,1.6,0.7,3.3,24.6,79,41.50000000000001
Anthony Gill,WAS,10.6,1.2,2.2,0.1,0.5,0.8,1.1,0.6,1.1,1.7,0.6,0.1,0.2,0.3,3.3,59,6.799999999999999
Anthony Lamb,GSW,19.3,2.4,5.1,1.2,3.2,0.7,1.0,0.9,2.6,3.5,1.5,0.5,0.3,0.9,6.7,62,15.2
Austin Reaves,LAL,28.8,4.0,7.7,1.3,3.4,3.6,4.1,0.5,2.5,3.0,3.4,0.5,0.3,1.5,13.0,64,24.1
Austin Rivers,MIN,19.5,1.8,4.0,0.8,2.4,0.6,0.8,0.1,1.5,1.6,1.4,0.5,0.1,0.4,4.9,52,11.100000000000001
Ayo Dosunmu,CHI,26.2,3.5,7.1,0.7,2.4,0.8,1.0,0.6,2.2,2.8,2.6,0.8,0.3,1.2,8.6,80,19.0
Bam Adebayo,MIA,34.6,8.0,14.9,0.0,0.2,4.3,5.4,2.5,6.7,9.2,3.2,1.2,0.8,2.5,20.4,75,39.0
Ben Simmons,BRK,26.3,3.2,5.6,0.0,0.0,0.6,1.4,1.0,5.3,6.3,6.1,1.3,0.6,2.3,6.9,42,28.4
Bennedict Mathurin,IND,28.5,5.3,12.2,1.3,4.0,4.8,5.8,1.1,3.0,4.1,1.5,0.6,0.2,1.9,16.7,78,21.9
Bismack Biyombo,PHO,14.3,2.0,3.4,0.0,0.0,0.4,1.1,1.5,2.8,4.3,0.9,0.3,1.4,0.8,4.3,61,15.5
Blake Griffin,BOS,13.9,1.5,3.2,0.6,1.6,0.5,0.8,1.1,2.6,3.8,1.5,0.3,0.2,0.5,4.1,41,12.0
Blake Wesley,SAS,18.1,1.9,5.8,0.5,1.4,0.7,1.2,0.3,1.9,2.2,2.7,0.7,0.1,1.8,5.0,37,10.200000000000001
Boban Marjanovi?,HOU,5.5,1.3,1.9,0.0,0.0,0.6,0.9,0.6,1.3,1.9,0.3,0.2,0.1,0.5,3.3,31,6.4
Bobby Portis,MIL,26.0,5.7,11.5,1.4,3.7,1.4,1.8,2.2,7.4,9.6,1.5,0.4,0.2,1.2,14.1,70,27.6
Bogdan Bogdanovi?,ATL,27.9,5.1,11.3,2.7,6.7,1.2,1.4,0.4,2.6,3.1,2.8,0.8,0.3,1.2,14.0,54,26.099999999999994
