full_name,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,gp_2014-2015,gp_2015-2016,gp_2016-2017,gp_2017-2018,gp_2018-2019,gp_2019-2020,gp_2020-2021,gp_2021-2022,gp_2022-2023,gp_2023-2024,gp_2024-2025
Precious Achiuwa,0.0,0.0,0.0,0.0,0.0,0.0,0.17253426498253158,0.2580221429911803,18.9,20.03333333333333,19.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,61.0,73.0,55.0,148.0,28.0
Steven Adams,0.29040816326530616,0.0,0.32171875000000005,0.4153393351800554,0.41015625,0.46560846560846564,0.41052318668252086,0.3488573407202216,28.0,0.0,11.575757575757574,70.0,0.0,80.0,76.0,80.0,63.0,58.0,76.0,42.0,0.0,33.0
Bam Adebayo,0.0,0.0,0.0,0.24742701113211513,0.2993753718024985,0.5561342592592592,0.666748046875,0.7050382653061225,39.0,40.400000000000006,38.41304347826086,0.0,0.0,0.0,69.0,82.0,72.0,64.0,56.0,75.0,71.0,46.0
Ochai Agbaji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,13.566666666666666,23.06976744186047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,156.0,43.0
James Akinjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santi Aldama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2548828125,19.9,25.2,29.487804878048784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,77.0,61.0,41.0
Trey Alexander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8571428571428568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Nickeil Alexander-Walker,0.0,0.0,0.0,0.0,0.0,0.21955636034404707,0.46219281663516065,0.2802366863905325,13.2,19.0,18.326530612244895,0.0,0.0,0.0,0.0,0.0,47.0,46.0,65.0,118.0,82.0,49.0
Grayson Allen,0.0,0.0,0.0,0.0,0.1655124653739612,0.3704986149584488,0.42200000000000004,0.3248393021120294,21.6,29.1,22.333333333333336,0.0,0.0,0.0,0.0,38.0,38.0,50.0,66.0,72.0,75.0,39.0
Jarrett Allen,0.0,0.0,0.0,0.27314814814814814,0.34968750000000004,0.42448979591836733,0.4965986394557823,0.6709183673469388,34.400000000000006,38.10000000000001,35.22448979591836,0.0,0.0,0.0,72.0,80.0,70.0,63.0,56.0,68.0,77.0,49.0
