Player,PosPLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FPPG,Predicted_FPPG,Predicted_FPPG_model2,Predicted_GP,Predicted_GP_model2,7_fppg,30_fppg
Precious Achiuwa,,2024-25,0,1610612752,NYK,25.0,39,8,22.49,2.95,5.67,0.52,0.23,0.74,0.31,0.79,1.28,0.62,2.15,4.03,6.18,1.08,0.9,0.79,0.79,1.59,6.92,20.41,21.14,20.46,32.0,107.0,14.5,23.6
Steven Adams,,2024-25,0,1610612745,HOU,31.0,43,2,12.19,1.37,2.7,0.51,0.0,0.02,0.0,0.7,1.56,0.45,2.56,2.37,4.93,1.09,0.3,0.44,0.84,0.91,3.44,11.05,11.07,27.04,35.0,39.0,5.5,7.67
Bam Adebayo,,2024-25,0,1610612748,MIA,27.0,58,58,34.21,6.71,13.79,0.49,0.78,2.57,0.3,3.02,4.09,0.74,2.55,7.4,9.95,4.33,1.22,0.72,2.16,2.22,17.21,38.62,38.45,40.76,45.0,61.0,54.0,41.54
Santi Aldama,,2024-25,0,1610612763,MEM,24.0,52,12,25.08,5.0,10.27,0.49,1.85,4.9,0.38,0.94,1.35,0.7,1.6,5.12,6.71,2.83,0.81,0.56,1.0,1.04,12.79,29.79,27.77,25.15,38.0,59.0,32.0,32.8
Nickeil Alexander-Walker,,2024-25,0,1610612750,MIN,26.0,63,10,25.46,3.37,7.54,0.45,1.81,4.54,0.4,0.9,1.19,0.76,0.59,2.49,3.08,2.56,0.62,0.35,1.24,1.79,9.44,19.75,18.65,21.44,36.0,56.0,27.0,26.07
Grayson Allen,,2024-25,0,1610612756,PHX,29.0,50,3,24.78,3.4,7.66,0.44,2.44,5.7,0.43,1.38,1.68,0.82,0.56,2.7,3.26,2.1,0.92,0.34,1.06,1.52,10.62,22.28,20.42,28.33,38.0,28.0,14.0,21.1
Jarrett Allen,,2024-25,0,1610612739,CLE,26.0,61,61,28.51,5.59,7.85,0.71,0.0,0.05,0.0,2.41,3.23,0.75,2.7,7.61,10.31,1.98,0.92,0.92,1.18,1.52,13.59,35.36,31.46,37.84,47.0,63.0,36.0,34.54
Jose Alvarado,,2024-25,0,1610612740,NOP,26.0,38,11,23.45,3.29,8.11,0.41,1.97,5.21,0.38,0.97,1.18,0.82,0.5,1.95,2.45,4.39,1.32,0.24,1.05,1.79,9.53,25.11,22.37,17.1,33.0,7.0,17.0,27.45
Kyle Anderson,,2024-25,0,1610612744,GSW,31.0,36,3,15.03,2.11,4.69,0.45,0.53,1.44,0.36,0.5,0.75,0.67,0.75,2.31,3.06,2.25,0.72,0.56,0.56,1.11,5.25,16.61,14.99,21.32,33.0,78.0,18.5,13.9
Giannis Antetokounmpo,,2024-25,0,1610612749,MIL,30.0,48,48,34.08,12.21,20.21,0.6,0.17,0.88,0.19,6.17,10.44,0.59,2.23,9.83,12.06,5.98,0.75,1.27,3.33,2.5,30.75,56.29,54.13,59.23,47.0,62.0,59.75,51.88
Cole Anthony,,2024-25,0,1610612753,ORL,24.0,57,19,18.32,3.46,8.23,0.42,1.07,3.12,0.34,1.35,1.68,0.8,0.72,2.32,3.04,2.81,0.7,0.4,1.61,2.3,9.33,18.6,18.33,21.52,40.0,71.0,21.5,23.0
OG Anunoby,,2024-25,0,1610612752,NYK,27.0,55,55,36.45,6.15,12.89,0.48,2.16,5.91,0.37,1.98,2.49,0.8,1.29,3.38,4.67,2.09,1.36,0.87,1.33,2.25,16.44,32.64,31.43,31.21,48.0,64.0,46.33,31.5
