gp_2015-2016,gp_2016-2017,gp_2017-2018,gp_2018-2019,gp_2019-2020,gp_2020-2021,gp_2021-2022,gp_2022-2023,gp_2023-2024,gp_2024-2025,Age,Draft Year,full_name
0.0,0.0,0.0,0.0,0.0,61.0,73.0,55.0,148.0,30.0,25.0,2020,Precious Achiuwa
80.0,80.0,76.0,80.0,63.0,58.0,76.0,42.0,0.0,35.0,31.0,2013,Steven Adams
0.0,0.0,69.0,82.0,72.0,64.0,56.0,75.0,71.0,47.0,27.0,2017,Bam Adebayo
0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,156.0,44.0,24.0,2022,Ochai Agbaji
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,James Akinjo
0.0,0.0,0.0,0.0,0.0,0.0,32.0,77.0,61.0,42.0,24.0,2021,Santi Aldama
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,Undrafted,Trey Alexander
0.0,0.0,0.0,0.0,47.0,46.0,65.0,118.0,82.0,50.0,26.0,2019,Nickeil Alexander-Walker
0.0,0.0,0.0,38.0,38.0,50.0,66.0,72.0,75.0,40.0,29.0,2018,Grayson Allen
0.0,0.0,72.0,80.0,70.0,63.0,56.0,68.0,77.0,50.0,26.0,2017,Jarrett Allen
0.0,0.0,0.0,0.0,0.0,0.0,54.0,61.0,56.0,27.0,26.0,Undrafted,Jose Alvarado
78.0,72.0,74.0,43.0,67.0,69.0,69.0,69.0,79.0,36.0,31.0,2014,Kyle Anderson
80.0,80.0,75.0,72.0,63.0,61.0,67.0,63.0,73.0,41.0,30.0,2013,Giannis Antetokounmpo
0.0,0.0,0.0,0.0,0.0,47.0,65.0,60.0,81.0,46.0,24.0,2020,Cole Anthony
0.0,0.0,74.0,67.0,69.0,43.0,48.0,67.0,100.0,49.0,27.0,2017,OG Anunoby
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Adonis Arms
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Mark Armstrong
0.0,0.0,0.0,0.0,0.0,54.0,82.0,76.0,75.0,48.0,24.0,2020,Deni Avdija
0.0,0.0,0.0,71.0,38.0,69.0,58.0,67.0,55.0,37.0,26.0,2018,Deandre Ayton
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Armando Bacot
0.0,0.0,0.0,62.0,13.0,43.0,48.0,42.0,100.0,19.0,25.0,2018,Marvin Bagley III
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,Amari Bailey
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,38.0,22.0,22.0,2022,Patrick Baldwin Jr.
0.0,0.0,0.0,0.0,0.0,51.0,75.0,36.0,22.0,31.0,23.0,2020,LaMelo Ball
0.0,0.0,52.0,47.0,63.0,55.0,35.0,0.0,0.0,30.0,27.0,2017,Lonzo Ball
0.0,0.0,0.0,47.0,62.0,46.0,71.0,98.0,57.0,28.0,26.0,2018,Mo Bamba
0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,80.0,17.0,22.0,2022,Paolo Banchero
0.0,0.0,0.0,0.0,0.0,68.0,76.0,58.0,42.0,40.0,26.0,2020,Desmond Bane
0.0,0.0,0.0,0.0,0.0,0.0,64.0,31.0,108.0,39.0,25.0,2021,Dalano Banton
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,13.0,21.0,Undrafted,Dominick Barlow
66.0,79.0,77.0,77.0,72.0,58.0,77.0,82.0,82.0,47.0,32.0,2012,Harrison Barnes
0.0,0.0,0.0,0.0,0.0,0.0,74.0,77.0,60.0,37.0,23.0,2021,Scottie Barnes
0.0,0.0,0.0,0.0,56.0,72.0,70.0,73.0,116.0,41.0,24.0,2019,RJ Barrett
0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,19.0,32.0,24.0,2021,Charles Bassey
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,21.0,2023,Emoni Bates
0.0,0.0,0.0,30.0,44.0,30.0,59.0,67.0,106.0,0.0,,,Keita Bates-Diop
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,Undrafted,Jamison Battle
70.0,77.0,64.0,75.0,22.0,67.0,59.0,78.0,120.0,48.0,36.0,2008,Nicolas Batum
55.0,77.0,82.0,82.0,57.0,60.0,40.0,50.0,53.0,36.0,31.0,2012,Bradley Beal
0.0,22.0,62.0,81.0,55.0,37.0,79.0,162.0,79.0,50.0,28.0,2016,Malik Beasley
0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,48.0,25.0,24.0,2022,MarJon Beauchamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Charles Bediako
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,Undrafted,Reece Beekman
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,,,Jules Bernard
0.0,0.0,0.0,0.0,0.0,70.0,82.0,154.0,63.0,0.0,,,Saddiq Bey
0.0,0.0,0.0,0.0,54.0,45.0,50.0,76.0,62.0,40.0,25.0,2019,Goga Bitadze
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,,,Onuralp Bitim
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,47.0,21.0,2023,Anthony Black
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,,,Leaky Black
0.0,0.0,78.0,70.0,61.0,44.0,63.0,0.0,0.0,24.0,32.0,2014,Bogdan Bogdanović
79.0,81.0,80.0,81.0,63.0,72.0,69.0,0.0,0.0,0.0,,,Bojan Bogdanović
0.0,0.0,0.0,0.0,7.0,32.0,14.0,70.0,43.0,13.0,25.0,2019,Bol Bol
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,2024,Adem Bona
76.0,78.0,54.0,64.0,70.0,67.0,68.0,53.0,68.0,44.0,28.0,2015,Devin Booker
0.0,0.0,0.0,0.0,0.0,0.0,51.0,22.0,32.0,41.0,23.0,2021,Brandon Boston Jr.
0.0,0.0,1.0,28.0,62.0,60.0,80.0,76.0,50.0,43.0,32.0,Undrafted,Chris Boucher
0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,75.0,30.0,21.0,2022,Malaki Branham
0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,82.0,49.0,23.0,2022,Christian Braun
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,Undrafted,Jalen Bridges
0.0,0.0,0.0,82.0,73.0,72.0,82.0,166.0,82.0,51.0,28.0,2018,Mikal Bridges
0.0,0.0,0.0,80.0,65.0,66.0,80.0,0.0,69.0,33.0,26.0,2018,Miles Bridges
0.0,75.0,48.0,64.0,54.0,56.0,36.0,67.0,39.0,20.0,32.0,2016,Malcolm Brogdon
0.0,0.0,82.0,18.0,73.0,67.0,32.0,73.0,72.0,47.0,29.0,2017,Dillon Brooks
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Keion Brooks Jr.
0.0,0.0,0.0,74.0,58.0,65.0,72.0,80.0,134.0,17.0,28.0,2018,Bruce Brown
0.0,78.0,70.0,74.0,57.0,58.0,66.0,67.0,70.0,44.0,28.0,2016,Jaylen Brown
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,,,Kendall Brown
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,20.0,25.0,2023,Kobe Brown
0.0,0.0,0.0,0.0,9.0,43.0,40.0,72.0,22.0,9.0,25.0,Undrafted,Moses Brown
0.0,0.0,0.0,0.0,10.0,9.0,22.0,0.0,8.0,0.0,,,Charlie Brown Jr.
0.0,0.0,0.0,73.0,57.0,68.0,79.0,68.0,77.0,50.0,28.0,2018,Jalen Brunson
0.0,0.0,15.0,72.0,46.0,10.0,27.0,118.0,38.0,10.0,27.0,2017,Thomas Bryant
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,21.0,2023,Kobe Bufkin
31.0,42.0,64.0,64.0,66.0,49.0,81.0,51.0,132.0,26.0,33.0,2011,Alec Burks
0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,40.0,32.0,24.0,2021,Jared Butler
67.0,76.0,59.0,65.0,58.0,52.0,57.0,64.0,60.0,25.0,35.0,2011,Jimmy Butler
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,20.0,2024,Matas Buzelis
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,19.0,25.0,Undrafted,Jamal Cain
76.0,76.0,74.0,82.0,69.0,67.0,77.0,76.0,76.0,48.0,31.0,2013,Kentavious Caldwell-Pope
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,49.0,24.0,2023,Toumani Camara
77.0,65.0,74.0,67.0,39.0,63.0,74.0,65.0,73.0,45.0,30.0,2014,Clint Capela
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,Undrafted,Branden Carlson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,19.0,2024,Carlton Carrington
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,2024,Devin Carter
0.0,0.0,0.0,39.0,58.0,60.0,66.0,81.0,72.0,23.0,29.0,2018,Jevon Carter
0.0,0.0,0.0,44.0,43.0,54.0,62.0,57.0,55.0,38.0,25.0,2018,Wendell Carter Jr.
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,24.0,Undrafted,D.J. Carton
0.0,0.0,37.0,25.0,64.0,58.0,41.0,67.0,71.0,28.0,30.0,Undrafted,Alex Caruso
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,20.0,2024,Stephon Castle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,24.0,Undrafted,Colin Castleton
0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,74.0,47.0,23.0,Undrafted,Julian Champagnie
0.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,15.0,31.0,23.0,Undrafted,Justin Champagnie
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,2024,Ulrich Chomche
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,2024,Cam Christie
0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,67.0,46.0,21.0,2022,Max Christie
0.0,0.0,0.0,0.0,0.0,0.0,74.0,64.0,0.0,8.0,23.0,2021,Josh Christopher
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,20.0,2023,Sidy Cissoko
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,2023,Jaylen Clark
0.0,0.0,0.0,0.0,58.0,59.0,64.0,56.0,6.0,46.0,28.0,2019,Brandon Clarke
79.0,82.0,81.0,81.0,71.0,68.0,79.0,61.0,55.0,26.0,32.0,2014,Jordan Clarkson
0.0,0.0,0.0,0.0,15.0,32.0,47.0,76.0,71.0,43.0,25.0,2019,Nic Claxton
